t,path_0,path_1,path_2,path_3,path_4
0,0,0,0,0,0
0.002,0.00820756,0.100307,0.0611608,0.10014,-0.0489994
0.004,0.0288985,0.185007,0.0875175,0.163077,-0.00465265
0.006,-0.0306982,0.240305,0.096457,0.189626,0.0490193
0.008,-0.020126,0.289768,0.146427,0.17908,0.040397
0.01,0.0185357,0.31839,0.116892,0.15754,0.0912998
0.012,0.0180485,0.283616,0.0601949,0.109609,0.0363573
0.014,-0.00420314,0.25848,0.0454588,0.0893726,0.00333155
0.016,-0.0528094,0.32862,0.0150792,0.145444,-0.0299841
0.018,0.0144561,0.394296,0.052566,0.23127,-0.112387
0.02,0.0341389,0.399771,0.0453456,0.253909,-0.221881
0.022,-0.0393405,0.420516,0.122068,0.330749,-0.123452
0.024,-0.0120386,0.484008,0.156852,0.323243,-0.16274
0.026,-0.00825865,0.502835,0.136525,0.375036,-0.154582
0.028,0.0113983,0.449757,0.10246,0.345767,-0.215096
0.03,0.0298103,0.424458,0.038435,0.450556,-0.235984
0.032,0.0719304,0.43101,0.0511475,0.446748,-0.244851
0.034,0.0542711,0.359764,0.18279,0.429346,-0.332791
0.036,0.112292,0.352826,0.186404,0.496739,-0.342357
0.038,0.170047,0.362794,0.161443,0.544678,-0.345745
0.04,0.135982,0.377119,0.117674,0.504145,-0.391925
0.042,0.150325,0.318006,0.143237,0.488949,-0.452538
0.044,0.176776,0.273399,0.140776,0.500798,-0.494386
0.046,0.182401,0.160587,0.101199,0.525827,-0.544064
0.048,0.210492,0.16614,0.0548092,0.549166,-0.439706
0.05,0.202628,0.128137,0.0206137,0.54075,-0.430004
0.052,0.159245,0.105655,0.0214181,0.531187,-0.414425
0.054,0.228603,0.163277,-0.0882887,0.526186,-0.398673
0.056,0.28761,0.213939,-0.143885,0.473049,-0.394856
0.058,0.202791,0.212857,-0.1021,0.488098,-0.394116
0.06,0.158974,0.285895,-0.0423731,0.529528,-0.383964
0.062,0.144611,0.3475,-0.113698,0.531254,-0.351019
0.064,0.22264,0.391817,-0.0894776,0.511115,-0.437288
0.066,0.244972,0.45421,-0.0205935,0.530513,-0.417128
0.068,0.184454,0.439472,-0.00470966,0.557982,-0.468659
0.07,0.163264,0.408846,-0.00853588,0.463812,-0.464543
0.072,0.195351,0.37512,0.0487678,0.456869,-0.377809
0.074,0.164828,0.340016,0.0642807,0.392967,-0.397763
0.076,0.180579,0.362954,0.00664872,0.320519,-0.372441
0.078,0.197394,0.405628,0.0165729,0.273748,-0.379343
0.08,0.272092,0.41363,0.0643049,0.305059,-0.420805
0.082,0.24359,0.473776,0.15596,0.331188,-0.402361
0.084,0.248688,0.483102,0.177014,0.387395,-0.405914
0.086,0.267449,0.464566,0.186705,0.381956,-0.377084
0.088,0.230473,0.437938,0.225547,0.416902,-0.390931
0.09,0.199623,0.48274,0.261104,0.47616,-0.483796
0.092,0.271818,0.480419,0.249168,0.444952,-0.543015
0.094,0.267898,0.440431,0.188464,0.407421,-0.404593
0.096,0.214231,0.507315,0.173176,0.460944,-0.482031
0.098,0.223842,0.507834,0.16921,0.507342,-0.524159
0.1,0.283979,0.490665,0.125272,0.512282,-0.50312
0.102,0.189626,0.345868,0.140233,0.502161,-0.575021
0.104,0.171866,0.360461,0.159379,0.481426,-0.490016
0.106,0.158565,0.343059,0.194706,0.387474,-0.515955
0.108,0.0856639,0.342352,0.125849,0.357101,-0.623065
0.11,0.0886031,0.297133,0.15905,0.335317,-0.630568
0.112,0.124189,0.354372,0.174945,0.379647,-0.652514
0.114,0.0823905,0.271968,0.0712285,0.291669,-0.655109
0.116,0.123181,0.302,0.0313863,0.255165,-0.68051
0.118,0.122529,0.295473,-0.00165942,0.238046,-0.701111
0.12,0.162751,0.320752,0.0010433,0.332254,-0.680361
0.122,0.184694,0.323045,-0.0257494,0.368935,-0.692524
0.124,0.102818,0.358136,-0.0395019,0.295024,-0.70356
0.126,0.207662,0.324229,-0.0592679,0.293923,-0.719217
0.128,0.246924,0.338942,-0.114929,0.294884,-0.737581
0.13,0.253478,0.345285,-0.0930328,0.190736,-0.718891
0.132,0.26298,0.341344,-0.0458778,0.171303,-0.751407
0.134,0.32774,0.272876,-0.0717227,0.19393,-0.71975
0.136,0.295955,0.297407,-0.0560886,0.196221,-0.750948
0.138,0.291389,0.319611,-0.0994512,0.158631,-0.748783
0.14,0.207279,0.323178,-0.111254,0.196836,-0.744245
0.142,0.164583,0.312705,-0.036289,0.17927,-0.712139
0.144,0.214966,0.352086,-0.0330101,0.209931,-0.739493
0.146,0.195178,0.305672,-0.0298004,0.255431,-0.671797
0.148,0.213378,0.2915,-0.0105771,0.230337,-0.664369
0.15,0.190488,0.275138,-0.0301967,0.234515,-0.657717
0.152,0.272105,0.265392,-0.0502801,0.281099,-0.658135
0.154,0.233692,0.212935,-0.0746244,0.306497,-0.668556
