t,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19,path_20,path_21,path_22,path_23,path_24,path_25,path_26,path_27,path_28,path_29,path_30,path_31,path_32,path_33,path_34,path_35,path_36,path_37,path_38,path_39,path_40,path_41,path_42,path_43,path_44,path_45,path_46,path_47,path_48,path_49,path_50,path_51,path_52,path_53,path_54,path_55,path_56,path_57,path_58,path_59,path_60,path_61,path_62,path_63,path_64,path_65,path_66,path_67,path_68,path_69,path_70,path_71,path_72,path_73,path_74,path_75,path_76,path_77,path_78,path_79,path_80,path_81,path_82,path_83,path_84,path_85,path_86,path_87,path_88,path_89,path_90,path_91,path_92,path_93,path_94,path_95,path_96,path_97,path_98,path_99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,-0.0447405,-0.0959374,0.0845372,-0.0137907,0.0483277,-0.00861619,0.00477584,-0.00232572,0.0283413,-0.0601366,-0.069294,0.0171874,-0.0389975,0.0312192,-0.00180954,-0.0945649,0.00157084,-0.0655505,-0.0372854,-0.0662738,0.0616152,0.0266105,0.0956445,0.00344541,0.074614,-0.00255039,0.0250258,0.0205523,-0.0123199,0.0889763,-0.0326087,0.0707885,-0.0131335,-0.0011017,-0.0411782,-0.0460769,-0.0551309,0.0232246,0.0631899,0.0366461,-0.00944806,-0.0284894,0.0519922,-0.0237931,-0.00108214,-0.0862301,-0.0794597,-0.0162445,0.035294,0.00119456,-0.0299477,-0.0134344,-0.0719187,-0.029399,0.00846611,-0.0545132,-0.0166572,-0.0174016,0.0621604,0.0833467,0.0504916,0.00976696,0.0305526,-0.0648287,-0.0431792,-2.65775e-05,0.0192074,-0.0405436,0.0534459,0.0857604,0.0103869,-0.00707088,-0.00928821,0.042151,0.00929599,0.0762722,0.0108546,-0.0596892,0.0157585,-0.00510029,-0.00695913,-0.0137181,-0.0213641,0.00933323,-0.0340322,-0.0126629,-0.102499,0.110605,0.000685715,0.0601109,-0.0636052,0.00210047,0.059075,0.021027,-0.065875,0.0207333,0.0344627,-0.00203232,-0.0459476,-0.025936
0.004,-0.0730577,-0.0524426,0.1691,-0.00319151,0.0321453,-0.0160376,0.0274316,0.0223912,-0.0175039,0.0099751,-0.00334112,0.041919,-0.089668,-0.0193567,-0.0121651,-0.104933,-0.0137097,-0.115078,0.0117812,-0.0749295,-0.0352174,0.0729628,0.0962188,-0.00872829,0.0720043,0.115172,0.0355724,-0.00295299,0.00597955,0.114481,0.0580066,0.017783,-0.0294296,-0.0183383,-0.0767629,0.0182759,-0.00570211,0.063068,0.154488,0.135372,-0.143783,0.0507724,0.0788478,-0.00562312,-0.010998,-0.0612825,-0.0902264,0.0261343,0.0989119,0.0296637,-0.0855802,-0.117582,-0.0445917,-0.0436933,0.0835549,-0.0656724,0.011182,-0.0471915,0.0560452,0.10663,0.0560793,0.0228607,0.0206166,-0.0423785,-0.0688503,0.0225783,0.000921547,0.00504258,-0.00828697,0.114449,-0.00349881,0.034722,0.0532471,0.0498999,0.00723817,0.0668043,0.00897636,-0.0605986,0.107574,0.0233333,0.000599491,0.000658625,-0.0266372,-0.0233644,-0.0664431,-0.0438466,-0.142687,0.0341782,-0.0208411,0.0400176,-0.0356275,0.00176618,-0.0443727,0.0262833,-0.0889276,0.0285584,0.0586615,0.0565519,-0.0650625,-0.0869328
0.006,-0.14715,-0.0203147,0.259383,-0.0286362,-0.0162615,0.0495541,0.126943,0.0682678,-0.0461033,0.00962482,-0.0407743,0.133903,0.00595739,0.0110914,0.126741,-0.0571895,0.034734,-0.124887,-0.0372659,-0.0932913,-0.0090339,0.226511,0.056165,-0.0262093,0.0673467,0.185034,0.054003,-0.0315228,-0.0436822,0.07475,-0.00605375,0.108316,-0.0194021,-0.0322343,-0.0542443,-0.00463512,0.0226646,0.0648594,0.117607,0.175348,-0.149482,-0.00930225,0.0985239,-0.0234861,-0.0124772,-0.0820181,0.00434999,0.0600942,0.00697722,-0.000675899,-0.0957022,-0.149398,-0.0666525,-0.0466305,0.113438,-0.0216296,-0.011542,-0.0121779,0.0669234,0.0819217,0.114681,0.043102,-0.0055869,-0.0159073,-0.162677,0.00174416,0.0193323,0.0221094,0.00941112,0.109469,-0.0411398,0.0579535,-0.00495285,0.0189836,0.0283853,-0.00409546,-0.0218769,-0.0770183,0.0802099,0.0512945,-0.0226544,0.0514023,0.00147777,0.0153277,-0.0623354,-0.109152,-0.1973,0.00420457,0.000922715,0.0772719,-0.0432413,0.066966,0.00990475,0.0506095,-0.0768079,0.105414,0.11996,0.0837958,-0.0787489,-0.0914675
0.008,-0.12232,0.0300466,0.272492,-0.0249789,-0.0626546,-0.0171712,0.108598,0.0678441,-0.0358537,-0.038951,0.0120268,0.205717,-0.010366,0.0452355,0.0521008,-0.0422472,0.0555532,-0.033518,0.00608526,-0.112774,-0.0621637,0.217572,0.0259014,-0.0599945,0.0244654,0.154008,0.0200663,0.0155473,-0.0103575,-0.023857,-0.0800086,0.0819005,-0.121583,-0.0393757,-0.0834177,0.0493877,0.00353388,0.0224655,0.0713381,0.166089,-0.0885464,0.0263142,0.041106,-0.00505976,0.0102155,-0.0131365,0.0591729,0.041082,0.0614034,0.0421412,-0.0748251,-0.105755,-0.0579202,-0.00421235,0.174624,0.139692,0.0161812,-0.0107046,-0.00694411,0.103037,0.095801,0.0653972,-0.0315426,-0.0560259,-0.181189,0.0249894,-0.0315071,-0.00867719,-0.0111943,0.11094,-0.00377994,0.0264972,-0.0983103,0.0261069,0.0196091,-0.0280986,0.0131268,-0.0291612,0.0805708,0.0852164,0.00656989,0.0358794,-0.0377185,-0.0510706,-0.0424108,-0.0992958,-0.181518,0.0341277,-0.0790464,0.093773,-0.0866445,-0.021955,-0.0252591,-0.0777258,0.00627318,0.102379,0.132046,0.082386,-0.0307008,-0.0527764
0.01,-0.118607,0.010409,0.287712,-0.00900811,-0.0113748,-0.000853583,0.0721441,0.0768815,-0.0347979,-0.0390771,0.0396946,0.221463,-0.00367424,-0.0175244,0.0172669,-0.0167173,0.0320675,-0.0164217,0.0426004,-0.155938,-0.0710216,0.302273,0.013825,-0.0126293,0.0153181,0.126907,0.101623,-0.0120984,-0.00440914,-0.0592219,-0.139469,0.0319376,-0.148838,-0.105238,-0.0518263,0.116387,-0.00919026,0.0823239,0.00767542,0.152865,-0.0232008,-0.0144875,0.0454662,0.029797,0.0472581,-0.0155188,0.107051,0.0283112,0.025793,0.00903224,-0.0480276,-0.0257656,-0.0438774,-0.0480377,0.144858,0.140007,0.0150612,-0.0585971,0.0326603,0.0825062,0.0693103,0.145036,-0.0450043,0.0104426,-0.156446,0.0742392,0.0410833,-0.134259,-0.0232194,0.0873748,-0.0135424,-0.124598,-0.136018,-0.054445,-0.0285195,0.0304485,0.0137114,-0.0261775,0.00603631,0.0632684,-0.0034495,-0.0337494,-0.0483079,-0.0337393,-0.0512296,-0.147374,-0.180151,-0.0187735,-0.0832226,0.120474,-0.120645,0.0471672,-0.0666916,0.00203903,-0.00735031,0.0899973,0.160056,0.118015,-0.0970845,0.0106475
0.012,-0.103601,-0.0613827,0.350612,-0.04841,0.0808119,0.0597622,0.0707819,0.134205,-0.0684401,-0.0638384,-0.025646,0.198215,-0.0358526,0.0866078,-0.0142164,0.000468127,-0.0589484,0.0461523,0.0552178,-0.151567,-0.0592055,0.2686,-0.000254992,-0.028638,-0.0838812,0.113922,0.0860051,-0.00131404,0.0315008,-0.00550785,-0.162811,0.0501396,-0.189707,-0.168263,0.0312064,0.085077,-0.0779046,0.0157285,0.0135899,0.152339,0.00525916,-0.0456233,0.0255398,0.0212241,0.0625779,0.00749485,0.10836,0.0507956,-0.014162,0.0139924,-0.119549,-0.0148401,0.00803442,0.00174721,0.122954,0.161688,-0.0355286,-0.0748735,-0.0220011,0.119692,-0.0235708,0.214671,-0.0258252,-0.048665,-0.177812,0.104881,0.0790912,-0.0923384,-0.0373158,0.0656164,-0.00401731,-0.26123,-0.217163,-0.0745084,-0.11961,0.0319618,0.0208698,-0.0889243,0.0065235,-0.00167272,-0.000998519,-0.0238667,-0.0369837,-0.0271832,-0.0661609,-0.0215234,-0.132799,0.0125747,-0.0635347,0.0561435,-0.0972986,0.0510252,-0.0595818,0.0158803,0.0439954,0.0698578,0.140117,0.125974,-0.124298,0.0590351
0.014,-0.128953,-0.108136,0.304602,0.00256914,0.0587496,0.100908,0.0389232,0.0584252,-0.0918791,-0.00758248,-0.0700218,0.223737,-0.059465,0.147999,0.0111365,0.0709763,-0.0916288,0.0951889,-0.0644941,-0.188214,-0.0766525,0.234685,-0.105998,-0.0674508,-0.0558709,0.114513,0.0185972,0.0221509,-0.026654,-0.00462013,-0.241595,0.105146,-0.265229,-0.146044,0.0229322,0.0793556,-0.0796509,0.0763679,0.045369,0.16676,-0.0621947,-0.143986,0.0927912,0.0194665,0.127335,0.00304179,0.157945,-0.0178679,-0.0669221,-0.0122106,-0.058561,-0.0092663,0.10477,-0.0371164,0.109302,0.102322,-0.0416256,-0.0752262,0.101981,0.119956,-0.0227227,0.183786,0.0502985,-0.0475697,-0.132988,0.0785899,0.0269623,-0.139954,-0.0624867,0.0458112,0.0263765,-0.239967,-0.220847,-0.050754,-0.200891,0.00417147,0.0214126,-0.0796373,0.0481305,0.000841063,0.0823415,-0.0471765,0.0103759,-0.044223,-0.132328,-0.0449096,-0.183431,-0.0272047,-0.135562,0.0458309,-0.0805579,0.0387739,-0.0131442,0.027591,-0.00311241,0.022901,0.138712,0.118621,-0.100907,0.0792338
0.016,-0.161285,-0.130048,0.330247,-0.00699026,0.0322486,0.0847191,0.0399832,0.118116,-0.0720716,0.00631039,-0.00237559,0.176143,-0.0366975,0.169035,-0.054039,0.078693,-0.124582,0.0453086,-0.0348507,-0.204625,-0.0688083,0.257176,-0.109301,-0.0301569,-0.00768815,0.108673,0.0214597,0.0357122,-0.0241099,0.00939287,-0.201605,0.123166,-0.30774,-0.228833,-0.0532355,0.0789957,-0.0789518,0.0726541,0.0427571,0.130982,-0.0451404,-0.152675,0.0312717,0.0895343,0.0196953,-0.0951823,0.186927,0.0322618,0.010224,0.0312267,-0.0985324,-0.0151334,0.111905,-0.0297053,0.150732,0.198608,-0.0371979,-0.0303132,0.0954584,0.078452,-0.0599123,0.0905893,0.133289,-0.081141,-0.0657832,0.0606335,0.000699369,-0.202227,-0.0837786,0.069966,-0.00604422,-0.165415,-0.257615,-0.0224729,-0.146531,0.0210842,0.0171464,-0.0956348,0.0844135,0.0109156,0.124307,-0.0993942,0.031373,-0.053916,-0.00687981,-0.0809161,-0.22797,-0.0363997,-0.14096,0.0803083,-0.0264058,-0.000711622,0.0168543,0.0371217,-0.00251465,-0.019653,0.201463,0.117673,-0.0390033,0.0797123
0.018,-0.140167,-0.0920312,0.328078,-0.0644484,0.0220937,0.0422597,0.121981,0.126688,-0.0787389,0.0409679,0.0106359,0.11622,-0.0556833,0.178753,-0.0600594,-0.0178395,-0.0968631,0.132857,0.00565993,-0.156563,-0.0892724,0.333594,-0.177555,-0.0780086,0.00333212,0.155876,0.0838689,0.0203412,-0.0420347,-0.031083,-0.269829,0.157149,-0.261339,-0.208056,-0.0681175,0.0606131,-0.113284,0.0800727,-0.0122552,0.175752,-0.0998701,-0.136112,-0.0637451,0.0978764,0.0256749,-0.0791743,0.204684,0.00806907,-0.000889918,0.0488071,-0.0878916,-0.0798163,0.0690254,0.0221956,0.160758,0.167771,-0.0582455,-0.0460507,0.109378,0.0787233,-0.0736011,0.0755366,0.124028,0.0145531,-0.0759694,0.0846825,0.115509,-0.25794,-0.160538,0.0383517,-0.0802723,-0.126932,-0.181049,-0.00965974,-0.198327,-0.04632,0.110754,-0.147679,0.0670989,0.0211364,0.100548,-0.144378,-0.0144176,-0.0658349,0.0136548,-0.0734286,-0.200487,-0.0199066,-0.0999464,0.134179,0.0443427,0.0036924,-0.00205838,0.054752,0.00230984,-0.015963,0.148886,0.163364,0.00921334,0.142699
