t,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.0830615,0.0583285,0.037925,0.054239,0.00741382,-0.0492798,-0.0778278,-0.0221197,-0.031417,-0.000652625,0.0398113,0.0546026,-0.101097,-0.0444657,-0.05525,0.0260226,-0.0517962,-0.0522432,-0.000932953,-0.0907951
0.004,0.0311879,0.0411426,0.0890653,0.0379059,-0.0963264,0.0243126,-0.00882323,0.0368012,0.00397397,-0.0736542,0.109346,0.112873,-0.11093,-0.0137361,-0.084141,-0.0248269,-0.0600889,-0.0436082,-0.00388793,-0.0818346
0.006,-0.00129868,0.0367125,0.147264,0.0143043,-0.0754741,0.0648865,0.0263435,0.0348537,-0.0740187,-0.139289,0.0854034,0.192045,-0.118072,-0.0380765,-0.0558589,-0.00416798,0.0326639,0.00873232,-0.00158829,-0.161646
0.008,-0.0379733,0.0594708,0.186082,0.00315296,-0.0652636,0.0790834,0.00621087,0.051323,0.0283409,-0.20976,0.0977095,0.201476,-0.0623627,-0.0593124,-0.0507238,-0.00362244,0.0176696,0.0179757,0.0540419,-0.197737
0.01,-0.0840203,0.0577055,0.120315,0.00805971,-0.0299674,0.113163,0.0233884,0.00563538,0.0280994,-0.156629,0.110798,0.245213,-0.0936412,-0.118715,0.0158929,0.0280551,0.0265777,0.0242143,0.037796,-0.246508
0.012,0.00261696,0.132053,0.0226499,-0.0127885,-0.0528648,0.101424,0.042644,0.0106099,0.0377439,-0.168611,0.116178,0.277868,-0.036289,-0.0664544,-0.0200647,0.0936375,-0.0186287,0.0114993,0.0382174,-0.257307
0.014,-0.00870112,0.116894,0.031517,-0.0123606,-0.0502585,0.172078,0.0312579,0.0459825,0.0637635,-0.186785,0.0973585,0.285837,-0.0122876,-0.041308,0.0336442,0.137897,-0.00307369,0.0332885,0.0482534,-0.254288
0.016,-0.0152606,0.115829,0.024531,-0.0864545,-0.0991523,0.176322,0.041497,0.124778,0.0355399,-0.230717,0.149412,0.33498,-0.0326763,-0.0631846,-0.0297411,0.198927,-0.0413738,0.0581361,0.0109742,-0.270676
0.018,0.0544094,0.136613,0.0212382,-0.0375738,-0.104148,0.179729,0.121937,0.174506,0.0288721,-0.270487,0.161627,0.324288,-0.00875622,-0.0496155,0.0873414,0.199788,-0.0200979,0.0162678,0.019342,-0.315719
0.02,0.0189659,0.206111,0.0957394,0.0433669,-0.0882146,0.181037,0.193415,0.177733,0.0190815,-0.230523,0.143705,0.34955,-0.0208011,-0.0724445,0.133803,0.210574,0.0686707,0.0386891,0.0281911,-0.328351
0.022,0.12789,0.162768,0.0851864,0.0539672,-0.100841,0.117136,0.206765,0.211331,-0.0169921,-0.296564,0.138176,0.445643,-0.0429154,-0.084506,0.106724,0.202153,0.0398172,0.0548308,0.0551977,-0.319539
0.024,0.173702,0.181199,0.109709,0.0553266,-0.166349,0.234098,0.21269,0.246967,-0.0555368,-0.340723,0.0915357,0.343579,0.00436943,-0.0902233,0.068977,0.124088,-0.0491525,0.0577441,0.0701464,-0.283604
0.026,0.215324,0.300962,0.12414,0.0887051,-0.230485,0.278965,0.144513,0.288892,-0.0520479,-0.430298,0.149138,0.272603,-0.0191411,-0.0811087,0.0252262,0.0969631,-0.0758376,0.0464584,0.0226263,-0.302962
0.028,0.155407,0.350931,0.0994731,0.128729,-0.172203,0.267991,0.0939138,0.254155,-0.0717743,-0.427012,0.147985,0.290851,0.088845,-0.134479,0.0653128,0.190911,-0.125613,0.0974473,-0.00481335,-0.363773
0.03,0.106863,0.203967,0.22281,0.118442,-0.162986,0.230374,0.104985,0.19383,-0.116519,-0.393049,0.135086,0.32398,0.0131328,-0.166883,0.169317,0.246228,0.00412967,0.0881228,-0.0356833,-0.322966
0.032,0.0741171,0.180401,0.209867,0.0891974,-0.221225,0.233377,0.0730549,0.187642,-0.114638,-0.410344,0.126811,0.27501,-0.0344707,-0.149088,0.125502,0.30201,0.0250729,0.0677703,-0.0682565,-0.31234
0.034,0.0173425,0.152212,0.20489,0.128409,-0.221761,0.196963,0.0846203,0.251133,-0.165202,-0.390127,0.105926,0.369439,-0.0440779,-0.0592498,0.0903747,0.282173,-0.00945681,0.0390436,-0.034301,-0.285415
