t,path_0,path_1,path_2,path_3,path_4
0,0,0,0,0,0
0.002,0.0224884,-0.0153935,-0.0638324,-0.0023335,0.00733022
0.004,-0.0391835,-0.0191591,-0.0439764,0.0136378,-0.0151481
0.006,-0.00380211,-0.0312187,-0.0762836,0.051157,0.112492
0.008,-0.0511996,-0.0527698,-0.000104668,0.0775442,0.114562
0.01,-0.0773783,-0.0455616,0.0236855,0.0461567,0.10044
0.012,-0.104855,-0.06561,0.041978,0.0808006,0.110956
0.014,-0.189878,-0.0396753,0.0294568,0.171749,0.0834968
0.016,-0.172463,-0.0691725,0.0921154,0.163009,0.0957132
0.018,-0.147327,-0.0233053,0.154119,0.146461,0.0845725
0.02,-0.111447,-0.0620003,0.133476,0.160155,0.0204477
0.022,-0.118069,-0.0141496,0.074494,0.224972,-0.00490842
0.024,-0.0885666,-0.053321,0.149406,0.182893,0.00221053
0.026,-0.0883291,-0.0227242,0.0945225,0.198665,-0.0226065
0.028,-0.0919689,-0.0557026,0.0263321,0.157074,-0.0921563
0.03,-0.0995683,-0.0253366,0.0250866,0.141884,-0.0775362
0.032,-0.140115,0.0258175,0.00415327,0.107747,-0.0275924
0.034,-0.127424,0.040509,-0.089273,0.125321,-0.0166951
0.036,-0.106097,0.0433362,-0.10148,0.132338,-0.0626895
0.038,-0.0509058,-0.0426812,-0.0689666,0.0854473,-0.0194679
0.04,-0.064848,-0.0975663,-0.0701965,0.121547,-0.0662599
0.042,-0.109693,-0.154617,0.0846304,0.1337,-0.140447
0.044,-0.109221,-0.133529,0.145044,0.155754,-0.158594
0.046,-0.0720609,-0.155285,0.154922,0.161029,-0.166923
0.048,0.0208076,-0.168236,0.134923,0.17776,-0.200721
0.05,-0.0336849,-0.164749,0.136005,0.209336,-0.259372
0.052,-0.0219767,-0.126702,0.121137,0.215933,-0.238059
0.054,0.0430556,-0.0750828,0.112747,0.280357,-0.197507
0.056,0.0534018,-0.23033,0.106305,0.387944,-0.319927
0.058,0.0559236,-0.243244,0.209178,0.32579,-0.370611
0.06,0.035511,-0.299586,0.198321,0.305682,-0.378309
0.062,-0.00944413,-0.249732,0.236293,0.304505,-0.393311
0.064,0.011163,-0.267666,0.245605,0.264505,-0.431369
0.066,0.0419481,-0.258282,0.179146,0.254384,-0.468383
0.068,0.0301181,-0.200456,0.19449,0.226855,-0.376312
0.07,-0.050922,-0.165667,0.219659,0.240652,-0.376374
0.072,-0.0377108,-0.260432,0.145609,0.207666,-0.398206
0.074,-0.00843226,-0.250043,0.144479,0.242729,-0.415073
0.076,0.0390334,-0.20518,0.220426,0.243345,-0.505009
0.078,0.0774246,-0.200828,0.209395,0.275291,-0.516036
0.08,0.0206366,-0.214718,0.179846,0.192158,-0.510542
0.082,0.0430947,-0.250379,0.118094,0.170996,-0.477642
0.084,0.0514706,-0.234474,0.163721,0.183187,-0.424226
0.086,0.0540278,-0.203396,0.0856611,0.178598,-0.427769
0.088,0.0258949,-0.21936,0.124739,0.180881,-0.496238
0.09,0.0837412,-0.139028,0.0574613,0.129286,-0.520156
0.092,0.113506,-0.0884219,0.0461291,0.189379,-0.484971
0.094,0.0969046,-0.0622066,0.124749,0.153207,-0.425193
0.096,0.135415,-0.0595032,0.108837,0.190598,-0.490406
0.098,0.0708213,-0.0849204,0.157967,0.22015,-0.511664
0.1,0.0601743,-0.0797764,0.0710949,0.268216,-0.491399
0.102,-0.0251328,-0.124675,0.0552685,0.285983,-0.554444
0.104,-0.0647262,-0.0658229,0.0585963,0.250638,-0.545589
0.106,-0.0742644,-0.0948351,0.0710677,0.276257,-0.594283
0.108,-0.151853,-0.132396,0.0201665,0.265468,-0.559257
0.11,-0.215984,-0.127809,0.0287464,0.240211,-0.546619
0.112,-0.257482,-0.125914,0.0600346,0.318883,-0.546505
0.114,-0.248609,-0.0986836,0.188525,0.28521,-0.45205
0.116,-0.158335,0.0103613,0.150986,0.308571,-0.529412
0.118,-0.144875,0.106205,0.101483,0.258609,-0.448866
0.12,-0.158012,0.0720205,0.170739,0.327902,-0.466822
0.122,-0.263439,0.020861,0.208456,0.201372,-0.485264
0.124,-0.24133,0.165835,0.257543,0.163103,-0.511664
0.126,-0.293632,0.160713,0.255046,0.176856,-0.482698
0.128,-0.314462,0.136487,0.156163,0.161188,-0.512394
0.13,-0.356515,0.171109,0.0553671,0.230173,-0.522198
0.132,-0.371723,0.121937,-0.0378194,0.177221,-0.584708
0.134,-0.45612,0.091156,-0.00395385,0.176823,-0.69397
0.136,-0.510055,0.106239,0.023714,0.0977633,-0.648957
0.138,-0.429238,0.167253,-0.0802984,0.111703,-0.624233
0.14,-0.365899,0.132733,0.0261529,0.132429,-0.614469
0.142,-0.370743,0.206148,-0.0696356,0.200734,-0.60976
0.144,-0.461765,0.227628,-0.00885715,0.258897,-0.628538
0.146,-0.492785,0.21442,-0.0205486,0.298082,-0.621561
0.148,-0.442994,0.134869,-0.0128961,0.359385,-0.666808
0.15,-0.411878,0.230362,0.0327345,0.370823,-0.656297
0.152,-0.458648,0.267522,-0.0112018,0.342159,-0.672594
0.154,-0.440445,0.251353,-0.0194351,0.321312,-0.64454
0.156,-0.474975,0.302967,-0.076154,0.323285,-0.698732
0.158,-0.528605,0.253298,-0.0272621,0.328918,-0.660565
0.16,-0.555309,0.190675,-0.0272597,0.351732,-0.689981
0.162,-0.565651,0.195276,-0.0190726,0.376612,-0.715273
0.164,-0.60805,0.181126,-0.060825,0.405668,-0.724968
0.166,-0.598484,0.14829,-0.0111982,0.511955,-0.829438
0.168,-0.678834,0.117782,-0.0600999,0.503905,-0.795024
0.17,-0.69245,0.101625,-0.0601794,0.568924,-0.86065
0.172,-0.707954,0.0854824,-0.133061,0.555593,-0.910836
0.174,-0.689486,0.110294,-0.209978,0.524859,-0.851535
0.176,-0.76196,0.0892456,-0.294871,0.501452,-0.914251
0.178,-0.809892,0.0938885,-0.303622,0.451527,-0.934279
0.18,-0.824847,0.122933,-0.262885,0.442511,-0.893364
0.182,-0.825785,0.124738,-0.291636,0.511288,-0.901683
0.184,-0.855539,0.13744,-0.248465,0.446782,-0.940973
0.186,-0.862045,0.121243,-0.335115,0.489715,-0.981742
0.188,-0.867132,0.0510148,-0.388997,0.496043,-0.96383
0.19,-0.79094,0.0488752,-0.343028,0.466662,-0.976474
0.192,-0.829124,0.0780023,-0.34176,0.498074,-0.998776
0.194,-0.890056,0.0445486,-0.313589,0.453036,-0.983729
0.196,-0.870388,0.0726398,-0.314579,0.382871,-1.00067
