t,path_0,path_1,path_2,path_3,path_4
0,0,0,0,0,0
0.002,0.0230509,0.0714251,-0.0349039,-0.0989785,-0.0643793
0.004,-0.00155637,0.0800156,-0.0321087,-0.0682744,-0.0102992
0.006,0.0596426,0.0857146,0.0159724,-0.0645589,-0.00380396
0.008,0.0808343,0.0744037,-0.00509623,-0.0110321,0.00427197
0.01,0.0752823,0.0954691,-0.048868,0.00324888,0.0182751
0.012,0.0342805,0.134236,-0.0205989,0.0172239,-0.00941803
0.014,0.0122417,0.174568,-0.0146608,0.0674091,-0.0405509
0.016,-0.0776913,0.158549,0.00107627,0.102016,0.0283024
0.018,-0.119246,0.148408,0.0629324,0.123271,-0.0221175
0.02,-0.101689,0.109445,0.139035,0.151636,0.0208979
0.022,-0.108823,0.135212,0.177545,0.00174695,0.0559863
0.024,-0.105253,0.100728,0.108954,0.0121005,0.150324
0.026,-0.124384,0.110716,0.133969,-0.0300087,0.180379
0.028,-0.12339,0.163917,0.190551,-0.0428701,0.257529
0.03,-0.128644,0.124785,0.298481,-0.0151859,0.29299
0.032,-0.152428,0.128151,0.283481,0.03896,0.310458
0.034,-0.186773,0.0747868,0.371875,0.0229624,0.238107
0.036,-0.176841,0.0433677,0.401007,0.00247386,0.232005
0.038,-0.178391,0.0258802,0.421763,-0.0159436,0.198217
0.04,-0.172019,-0.071464,0.482203,-0.0335629,0.218226
0.042,-0.176704,0.0257085,0.481125,-0.107858,0.246682
0.044,-0.125975,0.0123768,0.4552,-0.17246,0.197414
0.046,-0.0404328,0.0372258,0.400885,-0.124371,0.243374
0.048,-0.063917,0.107117,0.390961,-0.123072,0.230892
0.05,-0.0138549,0.16932,0.461055,-0.109501,0.209836
0.052,-0.104493,0.262541,0.490137,-0.133547,0.174553
0.054,-0.153735,0.310279,0.586898,-0.177973,0.187068
0.056,-0.118889,0.220498,0.573558,-0.145136,0.238511
0.058,-0.102202,0.207556,0.62071,-0.174943,0.250039
0.06,-0.0516568,0.239373,0.551053,-0.175837,0.18397
0.062,-0.103479,0.266001,0.541929,-0.105961,0.162568
0.064,-0.120762,0.202711,0.616681,-0.0341334,0.228811
0.066,-0.152266,0.20175,0.663315,-0.0168761,0.190825
0.068,-0.126949,0.108769,0.654994,-0.061255,0.217571
0.07,-0.142741,0.0524719,0.565667,-0.0233166,0.26631
0.072,-0.204364,0.0248747,0.588296,0.0244279,0.260193
