t,path_0,path_1,path_2
0,0,0,0
0.00333333,0.0187566,0.00828661,0.0257582
0.00666667,0.0368468,0.0382529,0.0493965
0.01,0.0312911,0.032396,0.065076
0.0133333,0.00840948,0.0369774,0.062584
0.0166667,0.0344778,0.0204164,0.0504678
0.02,0.0325413,0.0292609,0.105374
0.0233333,0.0515106,0.0405498,0.123793
0.0266667,0.0757203,0.0580222,0.144238
0.03,0.101066,0.0688802,0.150089
0.0333333,0.12275,0.0728892,0.175431
0.0366667,0.121483,0.0669978,0.224143
0.04,0.126653,0.0994337,0.220962
0.0433333,0.127368,0.141458,0.212348
0.0466667,0.142606,0.168556,0.216201
0.05,0.143287,0.183028,0.218483
0.0533333,0.149689,0.184355,0.228456
0.0566667,0.165402,0.20846,0.232537
0.06,0.173439,0.213849,0.227582
0.0633333,0.185431,0.19937,0.221613
0.0666667,0.199501,0.190978,0.230894
0.07,0.206842,0.201379,0.246947
0.0733333,0.24138,0.187814,0.268332
0.0766667,0.29066,0.14292,0.25276
0.08,0.300666,0.115577,0.245712
0.0833333,0.306132,0.0890662,0.236363
0.0866667,0.301903,0.0624672,0.241425
0.09,0.33052,0.0232116,0.246269
0.0933333,0.360006,-0.0347172,0.252745
0.0966667,0.389907,-0.0459628,0.243632
0.1,0.370259,-0.0395487,0.260603
0.103333,0.385984,-0.0399985,0.246664
0.106667,0.367468,-0.0481119,0.234781
0.11,0.396226,-0.0399767,0.217274
0.113333,0.395989,-0.0341285,0.219712
0.116667,0.366468,-0.0503283,0.181008
0.12,0.352945,-0.0807467,0.199137
0.123333,0.353966,-0.0919335,0.197851
0.126667,0.350811,-0.135968,0.202792
0.13,0.332796,-0.139506,0.217167
0.133333,0.330355,-0.145874,0.21302
0.136667,0.323681,-0.153731,0.22524
0.14,0.316505,-0.160461,0.232658
0.143333,0.326679,-0.155902,0.28157
0.146667,0.321917,-0.167133,0.292756
0.15,0.308759,-0.189373,0.297899
0.153333,0.293457,-0.193002,0.304802
0.156667,0.295783,-0.206056,0.284471
0.16,0.304563,-0.210611,0.272257
0.163333,0.295431,-0.233262,0.286026
0.166667,0.298028,-0.224652,0.305314
0.17,0.28946,-0.233137,0.293166
0.173333,0.293257,-0.256026,0.301392
0.176667,0.316637,-0.301357,0.309799
0.18,0.33111,-0.300612,0.291942
0.183333,0.354479,-0.349099,0.296696
0.186667,0.382838,-0.388089,0.267081
0.19,0.375118,-0.408214,0.259005
0.193333,0.369772,-0.411279,0.219281
0.196667,0.354843,-0.407611,0.180444
0.2,0.381102,-0.370041,0.152279
0.203333,0.364886,-0.356719,0.174759
0.206667,0.354213,-0.360428,0.161166
0.21,0.369279,-0.369856,0.163275
0.213333,0.392279,-0.375551,0.14325
0.216667,0.423428,-0.368196,0.103239
0.22,0.447494,-0.373457,0.0978299
0.223333,0.471313,-0.389036,0.113396
0.226667,0.46027,-0.383128,0.144885
0.23,0.41222,-0.392377,0.118833
0.233333,0.38948,-0.370211,0.0938161
0.236667,0.370738,-0.359026,0.0878275
0.24,0.340571,-0.358514,0.0430734
0.243333,0.348285,-0.356978,0.0152611
0.246667,0.32979,-0.353656,-0.0274072
0.25,0.305899,-0.355892,-0.0309392
0.253333,0.315472,-0.352156,-0.0297691
0.256667,0.311366,-0.346262,-0.0381371
0.26,0.28443,-0.355747,-0.0712414
0.263333,0.283054,-0.354501,-0.0541659
0.266667,0.290938,-0.355784,-0.0787556
0.27,0.301638,-0.337152,-0.0932478
0.273333,0.308603,-0.351061,-0.0959877
0.276667,0.287914,-0.343627,-0.0881239
0.28,0.277923,-0.351431,-0.111893
0.283333,0.253941,-0.320452,-0.127731
0.286667,0.250621,-0.279213,-0.107325
0.29,0.247324,-0.281112,-0.12421
0.293333,0.253229,-0.293877,-0.169944
0.296667,0.246497,-0.282093,-0.161097
0.3,0.240125,-0.25324,-0.155215
0.303333,0.262682,-0.251155,-0.146842
0.306667,0.257554,-0.232975,-0.161634
0.31,0.25343,-0.226204,-0.16903
0.313333,0.23981,-0.239487,-0.159636
0.316667,0.221796,-0.287013,-0.165987
0.32,0.218111,-0.302805,-0.18199
0.323333,0.205492,-0.275455,-0.169059
0.326667,0.218617,-0.270971,-0.18059
0.33,0.232229,-0.268104,-0.174552
