t,path_0,path_1,path_2
0,0,0,0
0.00333333,0.0931185,0.231593,-0.138168
0.00666667,-0.0258769,-0.0216721,-0.432029
0.01,0.233867,-0.278721,-0.147045
0.0133333,0.253087,-0.195036,-0.0177498
0.0166667,0.194916,0.0575653,-0.066996
0.02,0.029358,-0.176304,0.222099
0.0233333,-0.0172262,-0.145281,0.309155
0.0266667,-0.335188,-0.0543014,0.380726
0.03,-0.387936,0.170417,0.382364
0.0333333,-0.24579,-0.282971,0.252099
0.0366667,-0.265689,0.103785,0.0985732
0.04,-0.231029,0.360466,0.248963
0.0433333,-0.29709,0.322586,0.212133
0.0466667,-0.263736,0.169586,0.489564
0.05,-0.273341,-0.0843241,0.237931
0.0533333,-0.351043,0.0709039,0.276118
0.0566667,-0.448994,0.243785,-0.111982
0.06,-0.359282,0.221025,-0.142366
0.0633333,-0.358106,0.00679576,0.351008
0.0666667,-0.321869,0.184587,0.254945
0.07,-0.338575,0.289231,0.748296
0.0733333,-0.131953,0.0937409,0.412689
0.0766667,0.147847,-0.266184,0.339498
0.08,-0.0473794,-0.0419441,0.594048
0.0833333,0.145979,-0.0601685,0.494049
0.0866667,-0.268941,-0.473422,0.482501
0.09,-0.376832,-0.395042,0.556596
0.0933333,-0.174599,-0.447522,0.814065
0.0966667,-0.13042,-0.223336,0.774611
0.1,0.0476953,-0.319762,0.92858
0.103333,-0.211702,-0.24772,0.8997
0.106667,-0.234515,-0.232118,0.830721
0.11,-0.330772,-0.812899,0.55815
0.113333,-0.189993,-0.871274,0.54166
0.116667,-0.266366,-0.38848,0.304539
0.12,-0.485192,-0.258185,0.522335
0.123333,-0.398009,-0.267964,0.421874
0.126667,-0.459876,-0.346061,0.395357
0.13,-0.216718,-0.0429876,0.682588
0.133333,-0.292762,-0.0674024,0.719188
0.136667,-0.317489,-0.0149222,0.78569
0.14,-0.186262,0.101141,0.941544
0.143333,-0.0118455,0.0533909,0.828542
0.146667,-0.233403,0.040844,0.699963
0.15,0.254605,-0.0409526,0.63289
0.153333,0.258305,-0.279864,0.59342
0.156667,0.470376,-0.25015,0.534517
0.16,0.404893,-0.0706023,0.487179
0.163333,0.367937,-0.307786,0.675388
0.166667,0.414691,-0.245042,0.551128
0.17,0.49443,-0.487018,0.439588
0.173333,0.175068,-0.329375,0.293864
0.176667,0.137005,-0.361272,0.598835
0.18,0.0169924,-0.292813,0.270239
0.183333,0.0141435,-0.113148,0.456019
0.186667,0.0295797,-0.464265,0.300244
0.19,-0.0985805,-0.0641586,0.568405
0.193333,-0.324443,-0.16899,0.594405
0.196667,-0.116898,-0.32482,0.396931
0.2,0.0353482,-0.0288593,0.397429
0.203333,0.0256348,-0.296999,-0.0681733
0.206667,0.132041,-0.387438,-0.192129
0.21,0.134338,-0.412866,0.056396
0.213333,0.225851,-0.651737,0.0853152
0.216667,0.384273,-0.888676,-0.170726
0.22,0.282228,-0.514188,-0.00103356
0.223333,0.134242,-0.412543,-0.117323
0.226667,0.117375,-0.294495,0.110326
0.23,0.342019,-0.210251,-0.0470542
0.233333,0.489482,-0.158387,-0.165845
0.236667,0.522245,-0.0658161,-0.363837
0.24,0.192943,-0.307019,-0.254983
0.243333,0.432551,-0.692107,-0.152477
0.246667,0.0277247,-0.659201,-0.159774
0.25,0.25119,-0.74595,-0.116777
0.253333,0.0647081,-0.668433,0.0759453
0.256667,0.165777,-0.693691,0.0527565
0.26,0.0515414,-0.426687,-0.192812
0.263333,0.0341869,-0.41065,-0.321741
0.266667,-0.182673,-0.425645,-0.432867
0.27,0.0603269,-0.449401,-0.685746
0.273333,0.0228113,-0.491125,-0.795981
0.276667,0.127179,-0.659754,-0.489404
0.28,0.410459,-0.454887,-0.598863
0.283333,0.137637,-0.647212,-0.651463
0.286667,0.21667,-0.718633,-0.209611
0.29,0.232829,-0.789992,-0.366122
0.293333,-0.0279036,-0.488126,-0.166676
0.296667,0.141776,-0.642971,-0.0955541
0.3,0.146858,-0.639952,-0.423672
0.303333,0.201047,-0.751209,-0.0371474
0.306667,0.302243,-0.758523,-0.0729606
0.31,0.414816,-0.90665,0.385402
0.313333,0.104006,-0.759116,-0.02903
0.316667,-0.00584117,-0.854842,0.0067303
0.32,0.0297873,-1.04912,0.278749
0.323333,-0.193385,-1.19524,0.0708559
0.326667,-0.186277,-1.2364,0.0326153
0.33,-0.0136197,-1.44623,0.0106452
0.333333,-0.0924197,-1.38314,0.0376981
0.336667,-0.220619,-1.57868,-0.018255
0.34,-0.22573,-1.16882,0.0835174
0.343333,-0.113191,-1.27974,0.0813685
0.346667,-0.166146,-1.35877,0.314025
0.35,-0.324172,-1.6057,0.414773
0.353333,-0.497703,-1.20296,0.298305
0.356667,-0.626652,-1.06826,0.345123
0.36,-0.5127,-1.08764,0.0346823
0.363333,-0.511104,-1.29827,-0.1413
0.366667,-0.145663,-1.29062,-0.0563606
0.37,-0.366119,-0.992414,0.137349
0.373333,-0.490384,-1.07035,-0.197568
0.376667,-0.534616,-0.821609,-0.0867283
0.38,-0.57148,-0.99803,0.0895482
0.383333,-0.309515,-0.7679,0.126052
0.386667,-0.714509,-0.783748,0.394897
0.39,-0.61449,-0.893529,0.37353
0.393333,-0.587432,-0.840885,0.543129
0.396667,-0.749682,-0.812323,0.277469
0.4,-0.540496,-0.54288,0.254547
0.403333,-0.477824,-0.489626,0.218106
0.406667,-0.62398,-0.523228,0.123807
0.41,-0.523368,-0.413462,0.286479
0.413333,-0.537982,-0.310857,0.488445
0.416667,-0.570157,-0.48838,0.562575
0.42,-0.564692,-0.714597,0.554292
0.423333,-0.36723,-0.789974,0.558708
0.426667,-0.164865,-0.855391,0.61631
0.43,0.0126076,-0.925442,0.768536
0.433333,-0.512271,-1.0272,0.432445
0.436667,-0.201432,-0.880414,0.667454
0.44,0.123159,-0.825343,0.531774
0.443333,-0.113045,-0.907251,0.421135
0.446667,-0.146078,-0.88269,0.652052
0.45,-0.251954,-0.889271,0.530736
0.453333,-0.100065,-0.657553,0.696428
0.456667,-0.137371,-0.813386,0.685979
0.46,-0.082829,-0.632879,0.593565
0.463333,-0.172844,-0.445816,0.602247
0.466667,0.0491987,-0.451574,0.641754
0.47,0.0524621,-0.606798,0.598648
0.473333,-0.0591932,-1.04165,0.363987
0.476667,-0.0374731,-0.703955,-0.0561423
0.48,0.2878,-0.634185,0.487815
0.483333,0.332931,-0.654588,0.593283
0.486667,0.189729,-0.627297,0.683638
0.49,0.0184157,-0.420531,0.543528
0.493333,0.176527,-0.210804,0.31316
0.496667,0.329863,-0.289914,0.694918
0.5,0.170565,-0.4761,0.439162
0.503333,-0.250568,-0.155913,0.670301
0.506667,-0.0602118,-0.184228,0.803732
0.51,0.100863,-0.24606,0.959414
0.513333,0.143222,-0.11249,0.890542
0.516667,0.227918,-0.495288,1.08743
0.52,0.0386061,-0.383826,0.994608
0.523333,0.134107,-0.275685,0.843992
0.526667,0.437454,-0.142194,0.829124
0.53,0.246196,-0.225882,0.822988
0.533333,0.136701,-0.0281639,1.12823
0.536667,0.222317,-0.18325,0.871553
0.54,0.203959,-0.160262,0.732274
0.543333,0.282089,-0.280632,0.914207
0.546667,0.2613,-0.458686,0.716711
0.55,0.277817,-0.243869,1.14663
0.553333,0.234255,-0.592903,1.0151
0.556667,0.048458,-0.156412,1.03466
0.56,0.263247,-0.616253,1.20837
0.563333,0.240753,-0.262665,1.04576
0.566667,0.245418,-0.624748,1.28509
0.57,0.193701,-0.447498,1.02954
0.573333,0.357375,-0.615517,0.729781
0.576667,0.498763,-0.278012,0.776128
0.58,0.541712,-0.478902,0.825835
0.583333,0.687551,-0.267654,0.803756
0.586667,0.285955,-0.311122,0.952888
0.59,0.159861,-0.263914,1.17105
0.593333,0.046512,-0.275778,1.21352
0.596667,-0.0320141,-0.380116,1.24571
0.6,-0.472713,-0.254214,1.16953
0.603333,-0.375389,-0.508799,1.12945
0.606667,-0.31091,-0.672014,0.815917
0.61,-0.470212,-0.681001,0.917208
0.613333,-0.471633,-0.626483,0.707718
0.616667,-0.252604,-0.522013,0.811147
0.62,-0.124589,-0.906841,0.854164
0.623333,-0.486337,-0.99657,1.24296
0.626667,-0.321107,-1.11906,1.04301
0.63,-0.292192,-1.1804,0.80853
0.633333,0.103928,-1.10549,0.644674
0.636667,-0.261942,-0.726542,0.59369
0.64,-0.114064,-0.77885,0.931923
0.643333,-0.0617484,-0.971829,1.26329
0.646667,-0.0862694,-0.982884,0.973821
0.65,0.0597859,-1.08136,0.885397
0.653333,-0.0108052,-0.994636,1.07684
0.656667,-0.247422,-0.927591,1.36245
0.66,0.0398557,-0.925993,1.28718
